  PERMNO        date           msft        vwretd        ewretd        sprtrn
   10107    20010606      -0.003306     -0.009436     -0.003241     -0.010549
   10107    20010607       0.018242      0.005334      0.005451      0.005457
   10107    20010608      -0.006650     -0.009524     -0.002056     -0.009397
   10107    20010611      -0.014619     -0.009593     -0.005670     -0.008356
   10107    20010612      -0.000555      0.000192     -0.001292      0.001164
   10107    20010613      -0.019284     -0.009956     -0.002346     -0.011347
   10107    20010614      -0.025322     -0.019208     -0.014887     -0.017502
   10107    20010615      -0.012772     -0.004894     -0.004950     -0.004517
   10107    20010618      -0.016760     -0.006663     -0.012844     -0.004883
   10107    20010619       0.006579      0.001777     -0.005603      0.003434
   10107    20010620       0.031046      0.009780      0.001334      0.008709
   10107    20010621       0.006195      0.009891      0.003729      0.011364
   10107    20010622      -0.014462     -0.009011     -0.002499     -0.009450
   10107    20010625       0.000291     -0.004862     -0.000223     -0.005509
   10107    20010626       0.018736     -0.000158      0.004977     -0.001510
   10107    20010627       0.014257     -0.002103      0.004318     -0.004676
   10107    20010628       0.022491      0.012563      0.007562      0.012493
   10107    20010629       0.003574      0.004373      0.018683     -0.001452
   10107    20010702      -0.032877      0.005336     -0.005534      0.010037
   10107    20010703      -0.001841     -0.001734     -0.000217     -0.001827
   10107    20010705      -0.027813     -0.012101     -0.007388     -0.012321
   10107    20010706      -0.035761     -0.022162     -0.011844     -0.023498
   10107    20010709      -0.005601      0.005711      0.002084      0.006879
   10107    20010710      -0.018420     -0.014255     -0.009420     -0.014398
   10107    20010711       0.031327     -0.002275     -0.005388     -0.001134
   10107    20010712       0.076692      0.023559      0.014742      0.023691
   10107    20010713      -0.003631      0.005372      0.003936      0.006241
   10107    20010716      -0.002243     -0.011631     -0.007309     -0.010883
   10107    20010717       0.008991      0.010631      0.005250      0.009971
   10107    20010718      -0.017405     -0.006842     -0.008032     -0.005542
   10107    20010719       0.028341      0.005144      0.005491      0.006053
   10107    20010720      -0.046714     -0.002914      0.000336     -0.003432
   10107    20010723      -0.030211     -0.014655     -0.005580     -0.016369
   10107    20010724      -0.011477     -0.016244     -0.011498     -0.016272
   10107    20010725       0.017491      0.013676      0.002768      0.016080
   10107    20010726      -0.013189      0.011494      0.007670      0.010449
   10107    20010727      -0.016819      0.003289      0.003519      0.002402
   10107    20010730       0.005041     -0.001182     -0.001138     -0.001078
   10107    20010731       0.005927      0.004898      0.003221      0.005571
   10107    20010801       0.004230      0.005020      0.006442      0.003880
   10107    20010802       0.014743      0.003225      0.002534      0.003964
   10107    20010803      -0.008302     -0.004621      0.000534     -0.005243
   10107    20010806      -0.011362     -0.011011     -0.005900     -0.011422
   10107    20010807       0.003327      0.002246     -0.000389      0.003265
   10107    20010808      -0.022457     -0.016750     -0.010004     -0.017328
   10107    20010809       0.002313     -0.000152     -0.001149     -0.000084
   10107    20010810       0.007845      0.004273      0.000756      0.005687
   10107    20010813       0.004731      0.002349      0.002532      0.000949
   10107    20010814      -0.017317     -0.002451      0.001611     -0.003828
   10107    20010815      -0.023033     -0.006810     -0.004716     -0.007339
   10107    20010816       0.022468      0.001912     -0.002087      0.003090
   10107    20010817      -0.042402     -0.015935     -0.006830     -0.016663
   10107    20010820       0.013251      0.006827     -0.000437      0.008124
   10107    20010821      -0.030622     -0.011470     -0.008022     -0.012079
   10107    20010822      -0.001974      0.007416      0.004417      0.006956
   10107    20010823      -0.025387     -0.002774     -0.003713     -0.002763
   10107    20010824       0.049560      0.018237      0.010825      0.019654
   10107    20010827       0.004190     -0.003690     -0.001755     -0.004827
   10107    20010828      -0.025197     -0.014387     -0.007405     -0.015010
   10107    20010829      -0.008067     -0.009608     -0.002918     -0.011115
   10107    20010830      -0.054938     -0.015582     -0.009203     -0.017038
   10107    20010831       0.001932      0.004079      0.005746      0.004030
   10107    20010904      -0.016652     -0.001650     -0.005708     -0.000565
   10107    20010905       0.029234     -0.003231     -0.008926     -0.001059
   10107    20010906      -0.029789     -0.020706     -0.014187     -0.022390
   10107    20010907      -0.011067     -0.017765     -0.011476     -0.018637
   10107    20010910       0.039350      0.003517     -0.007368      0.006226
   10107    20010917      -0.081105     -0.050731     -0.042397     -0.049216
   10107    20010918       0.026649     -0.008294     -0.009884     -0.005805
   10107    20010919      -0.008284     -0.017070     -0.024000     -0.016112
   10107    20010920      -0.057732     -0.030640     -0.032695     -0.031060
   10107    20010921      -0.020686     -0.018611     -0.020146     -0.019034
   10107    20010924       0.046268      0.037779      0.033194      0.038983
   10107    20010925      -0.013651      0.007590      0.003964      0.008790
   10107    20010926      -0.020078     -0.006015     -0.009979     -0.005167
   10107    20010927      -0.006167      0.010687     -0.000605      0.011489
   10107    20010928       0.024219      0.022760      0.025098      0.021922
   10107    20011001       0.012117     -0.004411     -0.010057     -0.002296
   10107    20011002       0.024329      0.011556      0.007002      0.012306
   10107    20011003       0.059943      0.022160      0.020665      0.019927
   10107    20011004       0.003735     -0.000290      0.011085     -0.002471
   10107    20011005       0.022679      0.000407      0.000515      0.001636
   10107    20011008       0.005544     -0.007692     -0.001940     -0.008344
   10107    20011009      -0.059959     -0.004817     -0.004086     -0.005356
   10107    20011010       0.017412      0.023130      0.019419      0.022938
   10107    20011011       0.014592      0.017327      0.019492      0.015208
   10107    20011012       0.001065     -0.005378      0.000107     -0.005267
   10107    20011015       0.029798     -0.000682      0.002547     -0.001530
   10107    20011016       0.006717      0.007833      0.011373      0.006936
   10107    20011017      -0.041403     -0.019378     -0.006450     -0.018633
   10107    20011018       0.012850     -0.006965     -0.004979     -0.007873
   10107    20011019       0.020264      0.004916      0.004694      0.004557
   10107    20011022       0.039033      0.014495      0.008013      0.015296
   10107    20011023       0.004488     -0.004338      0.000496     -0.004698
   10107    20011024       0.014728      0.001013      0.003921      0.000387
   10107    20011025       0.020222      0.013804      0.011118      0.013721
   10107    20011026      -0.005754      0.004256      0.007219      0.004109
   10107    20011029      -0.041158     -0.022667     -0.008933     -0.023818
   10107    20011030      -0.012743     -0.017200     -0.011457     -0.017166
   10107    20011031      -0.012398      0.002245      0.010749     -0.000009
   10107    20011101       0.063457      0.020712      0.008796      0.022948
   10107    20011102      -0.007115      0.002184     -0.000779      0.002860
   10107    20011105       0.030456      0.013979      0.008455      0.014386
   10107    20011106       0.023866      0.014135      0.007038      0.014526
   10107    20011107      -0.008182     -0.001925      0.000713     -0.002735
   10107    20011108       0.002646      0.001062      0.002989      0.002456
   10107    20011109       0.012263      0.000951      0.003391      0.001582
   10107    20011112       0.008894     -0.000562      0.001351     -0.001767
   10107    20011113       0.032072      0.018547      0.013954      0.018563
   10107    20011114      -0.028719      0.003492      0.007525      0.001861
   10107    20011115       0.002578      0.000031      0.000388      0.000903
   10107    20011116      -0.005596     -0.001704      0.006130     -0.003143
   10107    20011119       0.012015      0.011679      0.011591      0.010899
   10107    20011120      -0.017133     -0.008258     -0.004841     -0.007298
   10107    20011121      -0.020642     -0.004486      0.000342     -0.004927
   10107    20011123       0.010461      0.011709      0.010424      0.011706
   10107    20011126       0.006489      0.007436      0.005665      0.006155
   10107    20011127      -0.021492     -0.005073      0.001708     -0.006843
   10107    20011128      -0.014747     -0.017355     -0.009929     -0.018251
   10107    20011129       0.032484      0.011231      0.009191      0.010350
   10107    20011130      -0.009716     -0.000939      0.001063     -0.000658
   10107    20011203       0.008721     -0.008423     -0.007398     -0.008381
   10107    20011204       0.018990      0.014754      0.011957      0.013187
   10107    20011205       0.031818      0.023125      0.016936      0.022318
   10107    20011206       0.008076     -0.001084      0.006299     -0.002777
   10107    20011207      -0.011945     -0.007321      0.001813     -0.007531
   10107    20011210      -0.011352     -0.015033     -0.007343     -0.015868
   10107    20011211       0.003877     -0.001755      0.002873     -0.002781
   10107    20011212       0.009358      0.000555      0.002107      0.000273
   10107    20011213      -0.024724     -0.015389     -0.008347     -0.015558
   10107    20011214       0.017655      0.003486      0.002313      0.003314
   10107    20011217       0.022835      0.010396      0.005081      0.010035
   10107    20011218       0.004204      0.008034      0.007093      0.007546
   10107    20011219       0.003176      0.003669     -0.002734      0.005810
   10107    20011220      -0.039286     -0.009355     -0.008643     -0.008377
   10107    20011221       0.011684      0.006041      0.010187      0.004351
   10107    20011224      -0.003998      0.000226      0.003546     -0.000210
   10107    20011226       0.006095      0.005231      0.007184      0.004124
   10107    20011227       0.002512      0.006930      0.008021      0.006752
   10107    20011228       0.000295      0.004372      0.009310      0.003362
   10107    20011231      -0.023869     -0.009724      0.006616     -0.011145
   10107    20020102       0.011925      0.003837      0.007912      0.005740
   10107    20020103       0.032667      0.009844      0.012917      0.009180
   10107    20020104      -0.004767      0.006974      0.011262      0.006213
   10107    20020107      -0.004935     -0.006529     -0.000112     -0.006499
   10107    20020108       0.011960     -0.002448      0.004921     -0.003588
   10107    20020109      -0.009657     -0.004247      0.000727     -0.004799
   10107    20020110       0.008296      0.000584      0.000376      0.001221
   10107    20020111      -0.009671     -0.008774     -0.003945     -0.009468
   10107    20020114      -0.002041     -0.008128     -0.010397     -0.006276
   10107    20020115       0.015773      0.005734      0.001003      0.006834
   10107    20020116      -0.024155     -0.016278     -0.011005     -0.016245
   10107    20020117       0.029321      0.010141      0.006986      0.010030
   10107    20020118      -0.053822     -0.010133     -0.006146     -0.009922
