 DATE        PS_LEVEL        PS_INNOV          PS_VWF
19730330    -0.030718751    -0.012959573    -0.012799924
19730430    -0.040650607    -0.009006678     0.023191603
19730531     -0.11566844    -0.063306993     -0.00294238
19730629    -0.199889288      -0.1628228    -0.032431208
19730731    -0.096582013    -0.007829905     0.002582805
19730831    -0.097435637    -0.027261665     0.015779524
19730928    -0.121543296    -0.000195873     0.017045213
19731031    -0.053238019     0.024603645     -0.04302758
19731130    -0.300163745    -0.237248707    -0.026586581
19731231     -0.13413745     -0.07969148     -0.01694581
19740131    -0.162189172    -0.068522015     0.101318032
19740228    -0.120028221    -0.053952099     0.039670348
19740329    -0.001286667     0.114782915     0.043549255
19740430    -0.041920825     0.001540172     0.022131511
19740531    -0.101753842     -0.08234276     0.061045419
19740628    -0.069363139    -0.063239454    -0.007755686
19740731    -0.231121871    -0.134903017     -0.00460426
19740830    -0.101842067    -0.061848872    -0.031422272
19740930    -0.110298281    -0.066303121     0.023200311
19741031    -0.085646798     0.007671151    -0.073523006
19741129    -0.083564545     0.034235651    -0.025351189
19741231    -0.104666031     -0.04187772     0.019079861
19750131    -0.113622803    -0.075424434      0.10827995
19750228    -0.075727911     0.019193594     0.037053744
19750331    -0.130484163     0.006199635     0.060094361
19750430       0.0000797          0.0352     0.001324092
19750530    -0.066735432    -0.011360433    -0.028674225
19750630     0.023377436     0.025731486     -0.01416778
19750731    -0.059402694     -0.02601472    -0.007415209
19750829    -0.127523121    -0.119653447    -0.010687388
19750930    -0.089978793    -0.051567425    -0.015319912
19751031    -0.064972768     0.026099338     0.089329308
19751128     0.007609221     0.028475208      0.03543367
19751231    -0.024581841    -0.019816013    -0.000583791
19760130    -0.060278465    -0.032744401      0.01834159
19760227    -0.018513659     0.052507215    -0.041167573
19760331    -0.018564972     0.009167016    -0.014990479
19760430    -0.030321213     -0.04855381    -0.020685058
19760528       -0.090128    -0.086347506    -0.039714108
19760630    -0.064945927    -0.021630936     -0.00685273
19760730    -0.091403456    -0.053078799    -0.027958705
19760831     -0.01440666     0.032898463     0.016883907
19760930    -0.037756972     0.018577438    -0.015789182
19761029    -0.087291914    -0.043040041     0.005868334
19761130    -0.081945316    -0.021019982    -0.025099939
19761231    -0.025285674     0.056045864    -0.011312188
19770131    -0.062479771    -0.044396287    -0.031305555
19770228    -0.000435197       0.0378341    -0.010064777
19770331    -0.056292351     0.032783493     0.010646436
19770429     -0.01072424    -0.008742257    -0.027604596
19770531     -0.03332807    -0.012656626     0.015943407
19770630    -0.008645491     0.018342665     0.022449209
19770729    -0.048158005    -0.012514955     0.001167172
19770831      -0.0475812     0.006698488     0.030713639
19770930    -0.047210173    -0.018549361     0.011497574
19771031    -0.033288915    -0.000634103     -0.01304346
19771130    -0.012713391     0.029737548     0.004861031
19771230     0.019317685     0.035422964    -0.006193707
19780131    -0.042218779    -0.005616264     0.005290181
19780228    -0.019297252     0.014697279    -0.001978663
19780331    -0.010491407     0.004328131     0.016379695
19780428      -0.0078029      0.02059525     0.034562452
19780531     0.018013515     0.023199975     0.011628716
19780630     0.010747892     0.015144659     0.009079551
19780731    -0.043481563    -0.034010696     0.027464859
19780831     0.020908268     0.038789602    -0.001042025
19780929    -0.005565764    -0.010369226    -0.026364863
19781031    -0.108156643    -0.099687458     0.044412279
19781130    -0.075025642    -0.029332657    -0.035608554
19781229    -0.033950702     0.037576127      0.00197454
19790131    -0.014406977     0.025665494    -0.009835082
19790228     -0.03296287     0.008747586    -0.028181332
19790330    -0.043782043     0.023051063    -0.005569935
19790430     0.004782129      0.05623798     0.016530843
19790531    -0.080995007    -0.045452248    -0.021702713
19790629    -0.011874814     0.025413912    -0.016358543
19790731     0.022647808     0.062029789    -0.015944995
19790831     0.013034643     0.037575033     0.015613965
19790928    -0.074245626    -0.061737201    -0.013033767
19791031    -0.154441152    -0.101492975     0.002306348
19791130    -0.038538297     0.009365643    -0.066105338
19791231    -0.009221364     0.025513345    -0.017383095
19800131    -0.059578401    -0.018066132      0.00089557
19800229    -0.097828472    -0.040859355      0.01817804
19800331    -0.141922484    -0.085166338     0.029781926
19800430    -0.051168402    -0.028418162    -0.010888514
19800530     0.032840945     0.079951336    -0.008177903
19800630     -0.01566578     0.003413082     0.011048867
19800731    -0.035191893    -0.014703242    -0.008407886
19800829     0.007234324     0.054458657     0.012491962
19800930    -0.047583092    -0.016202921     0.015072075
19801031    -0.012388416     0.037165584     0.026773995
19801128    -0.024230795     0.004171175     0.028132125
19801231    -0.056394536    -0.011585119     0.027974165
19810130     -0.02295443      0.00547084     0.039945278
19810227    -0.007594046     0.002154298     0.000607384
19810331    -0.021365687     0.015277722     0.017587569
19810430    -0.028108019     0.011783216    -0.013760098
19810529     0.007373008     0.030297326     -0.02082504
19810630     0.001685314     0.032161338     0.057371684
19810731    -0.017633546     0.012586856    -0.015741844
19810831    -0.076556277    -0.041834649    -0.004098361
19810930    -0.152823526    -0.118451968     0.094349929
19811030     -0.04560095       0.0000501     -0.02065542
19811130    -0.031551085    -0.012274206     0.062938763
19811231    -0.023609596     0.028456489     -0.00073682
19820129    -0.069967468    -0.057251401    -0.021258595
19820226    -0.122290156    -0.079460804    -0.012945841
19820331     -0.03094834     0.011142533     0.041993687
19820430     0.004820028     0.044880594    -0.023657884
19820528    -0.002518959    -0.006595141      0.02927402
19820630    -0.012278994     0.022328165     0.049721082
19820730     0.012591081     0.019053861    -0.015766171
19820831    -0.057557817    -0.034920996     -0.00530724
19820930    -0.025629974     0.026596994     0.043580276
19821029    -0.041616836    -0.005158785    -0.040512303
19821130    -0.004942483     0.029489383     0.008891345
19821231     0.000640026     0.030880102    -0.030748144
19830131    -0.029697305     0.003366009    -0.054076718
19830228     0.008459778     0.041009499    -0.030304071
19830331    -0.047792845    -0.025347509     0.040400903
19830429    -0.004349244     0.027564849      0.03818274
19830531    -0.079088809    -0.045962374     0.020175932
19830630    -0.000570436     0.053115497     0.000324873
19830729    -0.048127228    -0.025471977     0.048484505
19830831    -0.040696121    -0.006752559     0.043086275
19830930    -0.023968404     0.026731913     0.011669056
19831031     0.035982672     0.063620573     0.055823013
19831130     0.014443808     0.051649701    -0.073641953
19831230     -0.03257912     0.016941552      0.04896063
19840131    -0.025235768    -0.003335682     0.066812216
19840229    -0.042120287    -0.025769998     0.007606859
19840330    -0.009820677     0.032249084     0.004704511
19840430    -0.084359871    -0.046253021     0.008343428
19840531     0.006224684     0.047180361     0.023845812
19840629    -0.016115448     0.025731786    -0.004010062
19840731    -0.025851919     0.014292884     0.017499924
19840831     0.002582936     0.034870149    -0.027393686
19840928    -0.017693605     0.013198886     0.025093085
19841031    -0.031042883    -0.011162326    -0.005784124
19841130    -0.002790881     0.007909597     0.015994611
19841231     -0.03456874     0.000379461    -0.004252622
19850131    -0.008422875     0.019419664    -0.018037667
19850228    -0.014163286     0.007491112     0.028679288
19850329     0.007210328     0.009086131     0.034412572
19850430     0.009185502     0.031304041     0.036089881
19850531    -0.000123605     0.024587168    -0.008777796
19850628    -0.006800566    -0.000319905     0.004329084
19850731     -0.01838076     0.026724696    -0.011624845
