PERMNO        date           nflx        vwretd        ewretd        sprtrn
   89393    20090605      -0.037337     -0.003115      0.001207     -0.002515
   89393    20090608      -0.009696     -0.002647     -0.003553     -0.001011
   89393    20090609       0.005153      0.005493      0.008719      0.003503
   89393    20090610      -0.029480     -0.002837     -0.002291     -0.003480
   89393    20090611      -0.003170      0.007218      0.010810      0.006112
   89393    20090612       0.002650     -0.001359     -0.002603      0.001397
   89393    20090615       0.008457     -0.025417     -0.023409     -0.023769
   89393    20090616      -0.008648     -0.013118     -0.011482     -0.012720
   89393    20090617       0.067935     -0.003016     -0.001874     -0.001382
   89393    20090618       0.022525      0.006611      0.003136      0.008411
   89393    20090619       0.006778      0.004106      0.006317      0.003114
   89393    20090622      -0.025006     -0.033150     -0.033322     -0.030600
   89393    20090623      -0.024168      0.002263     -0.002680      0.002307
   89393    20090624       0.000505      0.008940      0.008663      0.006524
   89393    20090625       0.038394      0.021621      0.021950      0.021444
   89393    20090626      -0.018001      0.000870      0.009695     -0.001478
   89393    20090629       0.020560      0.007693      0.002620      0.009065
   89393    20090630       0.003398     -0.007753     -0.001692     -0.008531
   89393    20090701      -0.017417      0.006079      0.011727      0.004362
   89393    20090702      -0.017233     -0.028146     -0.024530     -0.029145
   89393    20090706      -0.003507     -0.001709     -0.008867      0.002566
   89393    20090707      -0.024635     -0.019557     -0.015998     -0.019684
   89393    20090708      -0.002577     -0.003653     -0.010970     -0.001669
   89393    20090709       0.032300      0.004872      0.005021      0.003547
   89393    20090710       0.003004     -0.003390     -0.000116     -0.004022
   89393    20090713       0.052907      0.023932      0.016221      0.024934
   89393    20090714       0.026310      0.007252      0.008311      0.005316
   89393    20090715       0.025635      0.031138      0.029617      0.029630
   89393    20090716      -0.006305      0.009457      0.008224      0.008642
   89393    20090717       0.000227     -0.000099     -0.001876     -0.000383
   89393    20090720       0.015406      0.013489      0.015346      0.011432
   89393    20090721      -0.000892      0.002491     -0.001750      0.003627
   89393    20090722       0.011166      0.000625      0.006326     -0.000534
   89393    20090723       0.026060      0.024245      0.022672      0.023290
   89393    20090724      -0.091692      0.004319      0.006538      0.003042
   89393    20090727      -0.011848      0.003430      0.007161      0.002982
   89393    20090728       0.015348     -0.003762      0.001287     -0.002606
   89393    20090729       0.008503     -0.006491     -0.005145     -0.004563
   89393    20090730       0.021311      0.013390      0.015049      0.011896
   89393    20090731       0.007567      0.002684      0.004968      0.000740
   89393    20090803       0.023441      0.017978      0.019051      0.015342
   89393    20090804      -0.017567      0.002504      0.006835      0.003012
   89393    20090805       0.002943     -0.002039      0.000603     -0.002914
   89393    20090806      -0.018280     -0.007496     -0.007208     -0.005625
   89393    20090807       0.034483      0.013312      0.017849      0.013439
   89393    20090810       0.017778     -0.004375      0.002095     -0.003345
   89393    20090811       0.006332     -0.013754     -0.011713     -0.012660
   89393    20090812       0.004122      0.012274      0.012435      0.011525
   89393    20090813       0.000000      0.008375      0.007157      0.006880
   89393    20090814      -0.038678     -0.010003     -0.012073     -0.008531
   89393    20090817      -0.031018     -0.026003     -0.025879     -0.024261
   89393    20090818       0.010206      0.012012      0.015007      0.010146
   89393    20090819       0.030310      0.006917      0.006590      0.006861
   89393    20090820       0.002452      0.010675      0.010307      0.010949
   89393    20090821       0.002668      0.018207      0.016437      0.018623
   89393    20090824      -0.017295     -0.000862      0.001050     -0.000546
   89393    20090825       0.003159      0.002731      0.005311      0.002369
   89393    20090826      -0.011021     -0.000800      0.003465      0.000117
   89393    20090827      -0.005003      0.003054      0.002991      0.002782
   89393    20090828       0.010743     -0.001423     -0.001743     -0.001988
   89393    20090831      -0.013342     -0.009180     -0.009000     -0.008076
   89393    20090901      -0.033922     -0.021946     -0.019637     -0.022124
   89393    20090902      -0.008778     -0.002636     -0.000628     -0.003296
   89393    20090903      -0.035663      0.010692      0.010589      0.008535
   89393    20090904       0.016381      0.013982      0.013220      0.013118
   89393    20090908       0.012943      0.010417      0.011746      0.008845
   89393    20090909       0.042189      0.007777      0.011660      0.007782
   89393    20090910       0.006246      0.011151      0.012918      0.010422
   89393    20090911      -0.019310      0.000080      0.002029     -0.001350
   89393    20090914       0.014533      0.006382      0.008107      0.006339
   89393    20090915       0.039048      0.006169      0.009201      0.003135
   89393    20090916       0.040694      0.016261      0.017454      0.015324
   89393    20090917      -0.007692     -0.003709     -0.000030     -0.003060
   89393    20090918       0.020672      0.001857      0.002461      0.002637
   89393    20090921       0.002110     -0.004269     -0.001788     -0.003407
   89393    20090922       0.004842      0.008552      0.009561      0.006575
   89393    20090923      -0.018437     -0.010370     -0.004688     -0.010068
   89393    20090924      -0.004909     -0.012666     -0.015964     -0.009511
   89393    20090925      -0.007722     -0.006349     -0.002456     -0.006091
   89393    20090928      -0.006269      0.017946      0.015754      0.017810
   89393    20090929       0.006308     -0.001067      0.000059     -0.002230
   89393    20090930      -0.001946     -0.002880     -0.004316     -0.003328
   89393    20091001      -0.033572     -0.027084     -0.024204     -0.025760
   89393    20091002       0.002241     -0.005305     -0.006507     -0.004506
   89393    20091005       0.015653      0.016008      0.015677      0.014875
   89393    20091006       0.016513      0.014545      0.013401      0.013705
   89393    20091007       0.001733      0.003054      0.002384      0.002712
   89393    20091008      -0.004541      0.009685      0.009296      0.007470
   89393    20091009       0.018897      0.005240      0.006573      0.005641
   89393    20091012      -0.018120      0.003887      0.000513      0.004386
   89393    20091013       0.009336     -0.001923     -0.000480     -0.002788
   89393    20091014       0.033986      0.017816      0.014102      0.017546
   89393    20091015       0.047431      0.002401      0.000130      0.004157
   89393    20091016      -0.027011     -0.008152     -0.006059     -0.008098
   89393    20091019       0.016534      0.009987      0.007874      0.009405
   89393    20091020      -0.016867     -0.007961     -0.009123     -0.006239
   89393    20091021      -0.022672     -0.008341     -0.006952     -0.008854
   89393    20091022       0.037200      0.010135      0.006973      0.010644
   89393    20091023       0.105984     -0.012721     -0.013168     -0.012179
   89393    20091026       0.005101     -0.013199     -0.012990     -0.011717
   89393    20091027      -0.016857     -0.006300     -0.010169     -0.003318
   89393    20091028      -0.012906     -0.023836     -0.030392     -0.019541
   89393    20091029       0.033246      0.023807      0.020349      0.022520
   89393    20091030      -0.033803     -0.028001     -0.023885     -0.028065
   89393    20091102       0.006548      0.005083     -0.001022      0.006456
   89393    20091103      -0.000929      0.005747      0.009401      0.002426
   89393    20091104       0.007628      0.000868     -0.002387      0.001043
   89393    20091105       0.041174      0.019374      0.020275      0.019236
   89393    20091106      -0.009399      0.001553     -0.000597      0.002503
   89393    20091109       0.023989      0.023286      0.015690      0.022239
   89393    20091110       0.020979     -0.000672     -0.006304     -0.000064
   89393    20091111       0.017808      0.005482      0.005813      0.005032
   89393    20091112      -0.021030     -0.011722     -0.014038     -0.010259
   89393    20091113       0.019591      0.006826      0.007887      0.005739
   89393    20091116       0.002191      0.015592      0.016714      0.014468
   89393    20091117       0.021695      0.001240     -0.001824      0.000919
   89393    20091118       0.006255     -0.000941     -0.001355     -0.000468
   89393    20091119      -0.014232     -0.014008     -0.014576     -0.013426
   89393    20091120      -0.004812     -0.003930     -0.001469     -0.003215
   89393    20091123       0.006837      0.012969      0.010755      0.013616
   89393    20091124      -0.011759     -0.001308     -0.002305     -0.000533
   89393    20091125      -0.007541      0.005832      0.003686      0.004504
   89393    20091127      -0.023134     -0.018551     -0.016764     -0.017233
   89393    20091130       0.013483      0.003947      0.002433      0.003793
   89393    20091201      -0.006822      0.014008      0.012539      0.012075
   89393    20091202       0.013223      0.002344      0.005848      0.000343
   89393    20091203      -0.017119     -0.008821     -0.006843     -0.008402
   89393    20091204      -0.030350      0.005362      0.011082      0.005509
   89393    20091207      -0.005691     -0.001580      0.001961     -0.002468
   89393    20091208       0.000179     -0.010582     -0.007915     -0.010252
   89393    20091209       0.000715      0.003537      0.002190      0.003672
   89393    20091210       0.013939      0.005291     -0.001180      0.005840
   89393    20091211      -0.018329      0.003171      0.005236      0.003683
   89393    20091214       0.012747      0.008465      0.009914      0.006959
   89393    20091215       0.009041     -0.004612     -0.004277     -0.005547
   89393    20091216      -0.032326      0.003300      0.005027      0.001128
   89393    20091217      -0.024510     -0.012545     -0.010307     -0.011811
   89393    20091218      -0.008561      0.006088      0.005057      0.005830
   89393    20091221       0.012953      0.009733      0.009406      0.010504
   89393    20091222      -0.006486      0.004602      0.005825      0.003564
   89393    20091223       0.060436      0.004718      0.008581      0.002299
   89393    20091224       0.000704      0.005241      0.005349      0.005256
   89393    20091228       0.007910      0.000984     -0.000149      0.001154
   89393    20091229      -0.006278     -0.000931      0.001665     -0.001401
   89393    20091230      -0.023657     -0.000668      0.000497      0.000195
   89393    20091231      -0.009743     -0.008658     -0.002657     -0.010050
   89393    20100104      -0.029225      0.017120      0.019120      0.016043
   89393    20100105      -0.036836      0.003368      0.002475      0.003116
   89393    20100106       0.035139      0.002052      0.003210      0.000546
   89393    20100107      -0.017254      0.002854      0.006887      0.004001
   89393    20100108       0.017176      0.004162      0.007230      0.002882
   89393    20100111      -0.001313      0.001122      0.003568      0.001747
   89393    20100112      -0.016156     -0.010990     -0.010170     -0.009381
   89393    20100113       0.030361      0.008639      0.008890      0.008326
   89393    20100114      -0.055041      0.002320      0.004431      0.002427
   89393    20100115      -0.000784     -0.011321     -0.008664     -0.010823
   89393    20100119       0.004907      0.012053      0.011286      0.012500
   89393    20100120       0.000781     -0.011061     -0.009048     -0.010598
   89393    20100121      -0.000976     -0.017736     -0.014191     -0.018945
   89393    20100122      -0.005861     -0.020990     -0.014432     -0.022141
   89393    20100125      -0.034584      0.003892      0.000975      0.004598
   89393    20100126       0.016690     -0.004906     -0.006016     -0.004203
   89393    20100127       0.020420      0.004153      0.001880      0.004880
   89393    20100128       0.236806     -0.011294     -0.008876     -0.011818
   89393    20100129      -0.012532     -0.010282     -0.008187     -0.009829
   89393    20100201      -0.019598      0.015087      0.011349      0.014266
   89393    20100202       0.013436      0.012228      0.008665      0.012973
   89393    20100203       0.001617     -0.004966     -0.003824     -0.005474
   89393    20100204      -0.025989     -0.031957     -0.028128     -0.031141
   89393    20100205       0.008286      0.002661      0.000458      0.002897
   89393    20100208       0.000986     -0.008230     -0.005335     -0.008863
   89393    20100209       0.020197      0.013881      0.011905      0.013040
   89393    20100210      -0.010301     -0.001473      0.000019     -0.002233
   89393    20100211       0.030411      0.012092      0.012792      0.009680
   89393    20100212      -0.002841     -0.000656      0.003123     -0.002745
   89393    20100216       0.026591      0.017966      0.014436      0.018001
   89393    20100217      -0.005396      0.004660      0.005052      0.004238
   89393    20100218       0.024647      0.006187      0.004380      0.006585
   89393    20100219       0.008321      0.002455      0.001960      0.002187
   89393    20100222      -0.020705     -0.001113      0.001982     -0.001046
   89393    20100223      -0.014095     -0.013061     -0.008435     -0.012103
   89393    20100224       0.005284      0.008520      0.005359      0.009720
